,Entinostat,Mocetinostat,Romidepsin,Tacedinaline,Tucidinostat,Domatinostat,Pracinostat,Quisinostat,Vorinostat,AR-42,Belinostat,Citarinostat,Fimepinostat,Ricolinostat,Panobinostat,Givinostat,Tasquinimod,Nexturastat A,ACY738,Tubastatin A,Trichostatin-A,PCI-34051,ACY775,Selisistat,SRT2104,AZD-6482,AZD-8186,Copanlisib,Dactolisib,BGT-226,Buparlisib,Alpelisib,Idelalisib,Apitolisib,GSK-1059615,Omipalisib,GSK-2636771,PF-04691502,TG-100-115,Pilaralisib,Voxtalisib,AZD-8055,Onatasertib,Everolimus,GDC-0349,Rapamycin,Temsirolimus,AZD-5438,SNS-032,Seliciclib,HMN-214,Alvocidib,Ribociclib,Rigosertib,Riviciclib,Palbociclib,PHA-793887,Milciclib,R-547,RGB-286638,Dinaciclib,Zotiraciclib,Cerdulatinib,Fostamatinib (Free Base),Fostamatinib,TAK-659,Abemaciclib,Brigatinib,Crizotinib,Dabrafenib,Dasatinib,Nintedanib,Sunitinib,Staurosporine,Tofacitinib,Decernotinib,Baricitinib,Binimetinib,Selumetinib,Ravoxertinib,Trametinib,Ulixertinib,AMG-900,MK-5108,MLN-8054,SNS-314,(+)-JQ-1,Bromosporine,Molibresib,Apabetalone,Geldanamycin,Tanespimycin,Paclitaxel,CHM-1,Nocodazole,Colchicine,GSK2879552,Iadademstat,Tranylcypromine,Pinometostat,Tazemetostat,Pemrametostat,Lirametostat,Onametostat,5-Azacytidine,Decitabine,5-Fluoro-2'-deoxycytidine,Gemcitabine,Methotrexate,Actinomycin D,5-Fluorouracil,Pemetrexed,Cisplatin,Carboplatin,Oxaliplatin,Ixazomib,MG-132,Carfilzomib,Bortezomib,PJ34,Olaparib,Talazoparib,Rucaparib,Niraparib,Veliparib,Thalidomide,VHL ligand 1,Nutlin-3,Serdemetan,VH298,Iberdomide,Lenalidomide,Pomalidomide,Doxorubicin,Cyclophosphamide,Vincristine,Prednisone,CHDI00465983,CHDI00390576,TMP195,TMP269,NFAT activation inhibitor III,Cyclosporin A,LMK235
Entinostat,0.0,116.79298438102118,135.607355097721,141.26072727727882,115.81919522785226,153.57328163713564,135.16044547368148,116.72370319543303,142.36979356872158,134.36703406229896,132.74354623076968,63.22975339612207,120.04211674113017,60.45347874746107,82.7487635271062,118.14641728330734,68.9743585430307,116.05069187688143,65.09059948802704,140.5616877546764,66.55871936988362,136.10248593748403,134.6549736012921,68.72801768383009,154.02613225945572,65.70145241855438,154.6718690718476,153.1916549600409,119.72643604314428,140.37905348189892,63.01973027663568,139.4992134331945,116.20960400588395,153.65452639350102,117.62341196564083,154.2350409087931,141.54688334417935,116.85023041213836,115.39189404448352,70.04911729919894,136.7567845517656,136.62752767814484,142.05360180751342,155.3638776958223,116.22866271772499,135.08538786534896,124.48836427783603,133.46016329789208,115.58011314614275,140.92528140292924,117.17107500402989,135.55167150670755,151.48942257036052,134.45224061818493,133.63489676490408,155.25979413353966,141.49039189033562,115.33238838950277,133.06432206640739,151.76307521286864,139.45864406610872,134.1142399101872,140.2393058512177,115.98752578215695,140.94995687876155,153.08152662862096,141.1591378322945,133.44094549321628,132.71557978991873,134.88236233345984,135.26182615601869,140.7003907382035,142.19043416915414,153.69299274629861,140.28737967666692,115.97990281724066,139.05944189022648,66.69764360017805,135.76866765884068,133.2315786776004,116.745866412718,115.93424202293392,139.39047217431843,134.62054801642367,141.70329695932145,143.68444665690106,116.92542858451766,141.662415899423,140.726568511655,142.09693459298538,142.57900167656607,141.6781885071075,117.61119093477939,140.98307908715037,116.76380097733696,64.94249478229682,134.82870385588535,67.03061117475703,114.82816382095073,154.48640517564698,139.94731648168005,141.30853297121595,117.6088836305008,133.37583336021643,132.3578348926908,137.08252816886446,115.50474616974046,119.41509265588356,70.87222037374966,115.70141467340726,141.17621979613023,153.9201898084663,131.98942855811663,67.07326185175614,133.32795767811714,116.28427564814305,115.86110828321426,64.96687633188859,139.75656741644787,115.40654357119259,153.49110407118388,136.60025228878794,141.54794820353524,140.83234295687876,141.57563117773051,139.95388271743113,135.5156783273604,135.34673382151777,60.81728134589767,115.26926284553404,140.1977233685174,144.47656321123003,135.16965061912146,151.56680377006992,117.63891603883526,140.12944419371115,115.6838768575937,154.9857165388655,134.79704332489936,119.62857410532926,153.18390937755046,132.15780969636188,141.3569962131342,114.77720211072128
Mocetinostat,116.79298438102118,0.0,127.76655638125334,119.1325185700665,53.39103292385098,143.35068058862439,126.87713065806902,105.45426945343554,120.42078168908198,121.71806529231455,124.66051280964933,112.5802188128678,62.88496353603091,113.74152855981019,123.73022944757064,59.114780378444266,116.33967076473718,105.2841234545724,113.91332100703295,136.7734333965816,113.5882143731166,122.75668535863562,122.06815021429101,115.03763371632597,143.4532319089528,117.36862605509816,144.60574101177767,144.88576462873147,61.33280121873489,136.74422696949242,115.18169924143031,134.97297466218345,58.48401771736615,144.06543488713334,106.56613950357243,144.54301739619908,119.17564643925373,106.01869521361552,104.25592300745076,115.45902589566931,123.90012371631191,123.28438935022729,119.93842249870487,145.08881562725009,58.24633886943818,127.23520674651147,71.38945700483504,125.53901957422151,52.40314007654421,119.18703953944774,105.8619797272899,122.35858856605523,142.82620883879608,121.41804212284553,125.55978093548704,145.31386341315888,137.77132358505511,54.14688399102178,125.27067330000195,143.06810066622188,131.63203546151593,120.88067029483317,118.07799514772775,104.97500278611285,136.06948371501986,143.65941868291858,137.91479659873377,125.60385810590569,124.78245322444238,122.69540350869654,122.58802926076244,136.05687376280483,120.33415145019754,143.4942974663228,135.69376144390762,104.63293707005488,134.58512891716796,115.5471091147241,122.99290767156967,126.11683916858696,104.77971994011604,55.83324636543754,135.5859117173022,126.4135744040127,120.05889113174925,121.48661339988989,106.3373318362749,119.78745002937126,137.1761754075132,120.40810199988628,120.5484632203099,136.80629269911913,106.17604301389427,137.10247807799445,58.950105762826006,115.36894740564888,121.71097178425006,116.81893496389127,103.75040059085674,143.87876105327842,135.09243910588876,119.55636236898305,57.31836757788773,125.45553290401052,124.64483311943792,123.54100021514897,54.523378005895786,64.30495335021013,115.81232624511996,104.38891566022217,136.83132156381808,143.88902662189804,124.2951804918373,114.45627673848887,125.55523063218331,55.59686528324736,105.41897455842411,115.95786801420758,135.6420365346776,104.31476137807903,143.47970117061337,122.96671784447506,119.82078292529606,118.50224453284501,118.61187368251979,135.4866774456066,122.57950421960086,121.602699137024,114.36138429251912,104.03202022645809,135.5617075430121,121.22943740978917,126.66042065536182,142.0207281257359,106.90990437523732,126.52327561308493,103.69964058220037,144.86295129245704,121.94419695580474,63.11561483692813,144.16374796591037,124.11388908664145,118.68865723890592,54.43077529581776
Romidepsin,135.607355097721,127.76655638125334,0.0,179.7811021005169,126.57147850421738,162.3103335141312,58.92907774947521,120.78283206535053,179.92847755751296,130.15569627194498,56.68349539859565,133.47577142148393,128.81171277752273,133.81344196307023,139.11085549577402,128.36932835887728,135.08802957714084,120.57977808985473,133.901236300016,97.77002356182476,133.3727445748685,131.38161206396242,130.2838125310218,134.8407981665874,162.59371234241092,137.06012073908266,163.50861680130183,162.48477987585107,128.59496509346468,98.59200019474696,135.56275746591575,96.21869070642114,127.1462176431611,162.80023359114597,121.26518328281566,163.22710244697504,179.69469030206312,121.05580564673812,119.35869889417889,135.32587091153505,131.64004985774108,131.82027244584256,179.78270670889313,163.3811289944754,126.83827992126253,61.19364601271131,132.21396089277385,58.77875545297796,126.43814520708275,179.08174267761024,120.12836671823888,130.76612140261682,161.12974968533794,130.22484304211318,59.01038853783607,163.2220900441697,99.2562033005588,127.21343486801578,56.921516346431616,161.13485297692483,71.32559751813659,129.7372859295617,178.91280579133908,119.73163115437727,97.77914147360414,161.48304463240015,100.11899012795311,57.38444783980993,58.637546373721364,130.9237194450137,130.9097041151512,97.14410699849545,180.0475143047365,162.17616585320118,96.80367867496065,119.32003027167197,95.68465444302318,135.28481805777957,131.15864213258348,60.948134480495966,120.23454611208616,126.70879928011928,96.52142112571187,62.864246355567225,180.47130553537562,180.92288362856448,120.82303650970104,179.1444272012321,98.58424655246738,180.2071409314558,180.35415135958468,98.60460265941268,119.57973054973777,98.84577833867603,127.57629769246185,134.90316209291595,130.8199531203512,136.32657195066065,119.29824942555534,162.53809202332852,96.52421553197959,179.81300124048545,128.49237669826945,60.41640852451976,59.680165693877555,131.721451926085,126.63441589527196,128.24351796551113,134.2233610325759,119.82711957413835,98.68420091656097,162.70668026630466,56.82442685732394,134.1395323652546,56.740826658011244,126.58690916461568,120.05692627617152,136.56739642307252,96.81528794489142,119.0740213272901,162.40278617719835,131.4349192197299,179.75434178467955,179.2308133849118,179.57607570974878,96.73625348650242,130.8679747781249,130.52588492649687,134.2132770169958,119.81008479152189,97.16300190668218,181.7784823484949,62.95073551175297,160.89225091558816,121.10218391282363,134.19730092894227,119.48467095063383,163.30548387104986,130.7968973988841,129.94937997877884,162.3115835816495,58.15706185289627,179.5742434637024,126.33855889380455
Tacedinaline,141.26072727727882,119.1325185700665,179.7811021005169,0.0,116.9421038988929,186.43550053536396,178.66017569519056,152.5223482185749,62.25045159092172,177.38285851771911,176.91367728275551,137.33471500851874,122.49781222211317,138.70352720236303,149.80676742667742,120.150128586687,141.3791770115806,152.55683522235776,138.27374319916905,194.36579949325846,138.5975336384478,178.17415725351276,177.4120791164712,139.91679113263325,186.56449914439685,142.07927258268148,187.5974822014448,187.72370847551935,121.30112148620908,194.25258679793725,139.70450127478986,192.7421464645468,117.49351356089626,187.07828185017408,153.8940969003446,186.9636859867641,60.95111909800115,153.3791384745948,152.17147162041528,140.66819750444245,179.3732969705037,178.91884581282167,61.0114877792072,187.65705004644366,118.16402315042522,178.91515505029037,127.10271188011562,177.58057867553183,116.23357063013121,58.28999149434983,153.14864263216282,178.3958991785282,186.22333309040695,177.49922534561904,177.68272831058715,187.73664950731003,195.16571626046522,116.60459654264028,177.17143172144443,186.19216302766884,183.13826912121115,176.89750949874968,58.164614164844494,152.5003367657851,194.09706882714653,186.26945918288695,195.3313432104504,177.66647909109722,177.0692412520267,178.38474576296477,178.2723040343966,193.8199655648211,62.08712410661877,186.2797942598551,193.7694534559738,152.09526328623525,192.89832396050315,140.6145916963967,178.6471786645744,178.4651312138878,152.6888494344349,117.27880118848041,193.1292553113868,178.96433788767274,62.05963614650173,64.56861521375797,153.69754367893287,61.89222591277441,194.67945632742723,61.380459196476345,64.14918523578457,194.30385457705435,153.54647186832602,194.82183197832916,119.12172792550805,140.6350436223981,177.4819516033396,141.70434325446126,151.77592972969734,186.59616634818568,193.21335679691444,61.60620595606056,119.18429345685334,177.55679298235262,177.34153390972517,179.5307626581994,116.8418092515607,123.02485831774887,141.23979277894406,152.10747146918058,194.1911205048781,186.60966306569367,176.57682441633946,139.53829162399842,177.77706445139486,117.94089110204358,153.00669084449046,140.08835331689266,193.28097706745146,152.3072375563828,186.2113148126064,178.93395197453273,61.493186559122975,57.884672619938264,62.20272218872682,193.57579993434567,178.4611502195064,177.67740908974702,138.66214142354508,151.6035726968016,193.49153475148492,67.33717111296247,179.2391613755647,184.8501117485423,153.90914587767702,181.6881001843792,151.75199962082218,187.44858266849496,177.67525235321335,121.7837898730488,186.99557326007508,176.66797330255434,59.64799149074832,116.71903468485434
Tucidinostat,115.81919522785228,53.39103292385098,126.57147850421738,116.9421038988929,0.0,143.57668325752476,126.06628642426936,104.67975873643135,117.78377315725912,121.34750485504979,123.65078131955785,111.36593932098504,58.12947267892419,113.21319128913986,122.7223224828976,56.464836434536615,115.48737989667781,104.66617513944063,112.90091911922211,135.84303733617128,112.5221062143629,122.57967991012592,121.81466000461718,114.27141804036856,143.75420182487872,116.52114429416858,145.01318926291069,144.7352589509097,57.88758037883045,135.64985924796244,114.39997325774283,134.2025305760979,54.51245174891218,144.20399348915268,105.61317144959129,144.58690864760302,117.05879622081372,105.36769642498784,103.29038901292598,115.00893105340977,123.46774652097587,123.10479627692246,118.074491043749,145.368046301554,53.35753755453603,126.43771374750226,68.54384889754988,124.50089570829404,51.127648626560294,116.88384290848286,105.11820891807285,122.39156601150822,143.0694064790019,121.59760478779238,124.54379725852053,145.37110988142624,136.89646854813248,49.29690569637747,123.76388123771389,143.19159646731325,130.52524265736014,120.90256682838476,116.11538324397144,104.43838012356059,135.44467059413557,143.6126551295243,137.28842648077028,124.15677350609332,123.60286678774453,122.34600551537656,122.44874134556176,135.142617812312,118.17263072281571,143.6227655873144,135.0379516038801,103.73674515569013,133.92014618495014,114.93227487793293,122.87126451554589,124.96178559016603,103.95789763537142,52.36445595319727,134.56346172192687,125.44157952693112,118.20941571350046,119.23693534550205,105.25037546628106,117.60871612904006,136.19655304392597,118.46697425439793,118.88333111440512,136.2195386646411,105.53228867193856,136.15925694296774,55.08506917661206,114.30473753074999,121.55989137126254,115.59692775688642,102.98352119793556,143.73267559283795,134.36894798677795,117.97228554602472,55.597018456954416,124.45429231440478,123.57525790916434,123.5998162720721,51.66453595289512,60.09820504221379,114.59260398744874,104.0944340433827,135.9537936054442,144.0050478483935,123.02342727204686,113.64256302948604,124.34961354658607,53.189248850776536,104.35734229873901,114.72154015506847,135.05056611101463,103.21542553642928,143.6219682403407,123.04464427995461,117.60584324601885,116.67823012392887,116.64103619263322,134.66594500651672,122.40267138219696,121.40388899593187,113.21187533972089,103.32960285698896,134.71576449081113,119.0299779418334,125.61201937754666,142.12362290333343,106.04571707660945,126.32109064963184,103.17942122985025,145.0788179693113,122.15223656157963,58.926989987455514,144.13201090430488,123.19111793032378,117.14678052589869,50.05431187335473
Domatinostat,153.57328163713564,143.35068058862439,162.3103335141312,186.43550053536396,143.57668325752476,0.0,162.26173746576475,130.9714892718662,186.73527044445066,125.59744463849634,161.02499188808986,150.8569291652471,146.00618713750808,152.77226022877502,157.78242344518318,144.91765749348656,153.08587250382294,130.5790895336465,151.70635308231692,165.02776288482772,151.74759775201565,125.86123679578381,124.92454144264626,153.02817580064462,52.99217574617128,153.7312734470129,52.86607676562887,63.075214120006194,146.01273789844694,164.67899056986016,151.9401851580491,163.5946278689617,143.39800933529162,51.19238611369789,131.8759499100687,51.77811805797008,186.03120973619755,131.51607622629976,130.64540059613822,152.81751912343148,127.1634876642466,126.40643732739991,186.3509579185818,53.857372967625835,143.4857299253213,162.57071074075864,149.2091799106116,161.78766730765875,142.88913358973372,186.56365309715716,131.07589844498582,126.35746878381322,59.795269949874154,124.98052517905384,161.6140980597668,55.25829448500847,165.72080756696215,142.95917878787105,160.69951322026034,60.59377135225305,164.38291385431418,124.93348816489208,185.82410239604422,131.2693416949774,164.71039232906784,55.27009508868195,165.5627364494579,161.48780997528002,160.90540301082575,125.84377316723145,125.80795429822025,164.31241414347167,186.99098278445658,54.73861673627272,164.00734182173983,130.32928557998403,163.15465808885835,153.33180231058898,126.86970205388103,161.6808924600591,130.7631220342333,143.25774133651458,163.63110550641318,162.86690965534433,186.72295370907406,187.27979456337326,132.1638931676354,186.8032547936899,165.14339850357118,187.24731463933017,187.2799357421624,165.1479978067274,131.46437956445817,165.4298301177004,144.2356901311082,152.41880750579807,125.15430495732227,153.51441757732164,130.28451587757536,55.052830433685415,163.8225760594869,187.0966293606427,144.48503117733256,161.9816232515646,160.93763686290012,126.9051613064051,143.18418008487737,146.06737233493013,153.40173521943848,130.4965643431908,165.17465217020475,51.21204976295412,160.9734531890179,152.06111267907687,161.60977437399504,144.1218810915921,130.64784286540169,153.26597866356352,163.8881175248213,130.54749994297373,51.115456611616885,126.63594233557153,186.88747369420383,186.25710849939685,186.5717156320965,164.02748582082592,126.25798567284704,125.10572764802524,151.90849274782275,129.65139289932185,164.35156542788647,187.82152850271137,162.6341834401228,52.12679492311254,132.22071742062,129.96955373720297,129.8523175977193,53.40416856334959,125.51406211108295,145.439254703781,63.01706368924415,160.08412406265109,186.65727480464105,143.1307168362585
Pracinostat,135.16044547368145,126.87713065806902,58.92907774947521,178.66017569519056,126.06628642426938,162.26173746576475,0.0,119.83839630485654,178.82508432516227,129.39422757999662,54.613904612616125,132.60777910103639,128.26317640423986,133.42929561290796,138.48427859747952,127.43052142818324,134.60545475816528,119.76837986242026,133.2298600648946,96.45165205554422,132.44543234869568,130.67878452106277,129.51774871571553,134.24533595204227,162.1372244603632,136.50024890848522,163.2232441987954,162.1471972991297,128.14520567386347,96.98481963206304,134.64310725061014,94.32139309216586,125.95444370658922,162.4907099944177,120.20682765581158,163.03394732690347,178.59698616692378,120.1167658794173,118.29915196137402,134.4672045438694,130.83461270796545,131.11461044336858,178.647432591832,163.1445956050814,126.04372137382323,58.517597524903486,131.45882637549116,55.83321845154157,125.48906399345047,178.41633114894879,119.11152011649409,130.12109333813748,160.39118632280824,129.4941155861793,54.971463063565515,162.89696221454594,97.19622816654216,126.21806741067829,55.207953543586434,160.66832297562536,70.10661559018646,129.04803978813544,177.7592885373437,118.85495408866572,95.73209991158723,161.2599540708649,97.7670868660955,54.28489900575733,53.50190623927687,130.05655181193285,130.2402557498929,95.68977176307172,179.28754307446417,161.81426313774304,95.35311985101994,118.36321904168966,93.86930958186291,134.54853689186993,130.31886000117197,59.42665075729252,119.11783450827664,125.87914712379325,94.76433252044332,59.25831631262894,179.75065579348333,179.93142106634116,119.7519726406544,178.28721444889797,96.1343720939647,178.95937793304492,179.41503663722003,96.70593760769154,118.78994064516385,96.97841746012298,126.5309399363523,134.65634273869253,129.87732414629846,135.23343176415318,118.4464550016415,162.3602551133926,94.55789464376122,178.849351906699,127.70965808148587,57.24738037210401,54.813661433674646,131.1794494035724,125.73737017012671,127.69332636189792,133.11804930641713,118.85899642815228,95.8459146790832,162.48377702324996,52.81952595110077,133.91320422463085,56.004119412628015,126.05530881483817,118.85737342923208,136.07290698599257,95.61163875278265,118.13355110485465,162.2419198205109,130.78987440159293,178.6718150149053,178.5522623713037,178.45211804067569,94.39705697157254,130.01722239913704,129.53031578372062,133.63519249449863,118.51052916123615,95.21589549959748,181.02023631270896,57.75483383989685,160.2767873008729,120.30210386205427,133.7178004017309,118.60270873028668,163.0063048981675,129.8258587656641,128.8670480784663,161.71981780473917,55.99743679420689,178.5421758530548,125.17177453286376
Quisinostat,116.72370319543305,105.45426945343554,120.78283206535053,152.5223482185749,104.67975873643135,130.9714892718662,119.83839630485656,0.0,152.94198290313437,102.40472096556707,117.57296397297627,113.17486012931677,108.78309731519448,114.65651471146849,121.83883570369376,106.7383982425477,116.78997099490348,49.204208247867285,113.81615791098979,124.82924861329695,113.56028204673842,103.65089409973515,102.18557468818221,115.54930872344606,131.07933371659485,117.46735546119415,132.09549386441591,131.5696068234049,107.770248841698,124.80823996691103,115.32709114327108,123.68112680704414,104.73054038602662,131.66149639470984,52.64499944445905,132.02362648127027,152.16073932229767,53.15482368995878,52.21088451296359,116.40287966135604,104.5511553177329,104.19329678961458,152.88143059899724,132.04614135824355,105.05090398521591,120.86696210657749,112.79761715466947,119.19547401164502,103.83322309720141,152.40475692868372,50.21800571983595,102.99085402343293,129.63656922666794,102.43659862936057,118.82163309363445,132.73479975792478,126.13378524407078,104.20701884253747,118.2305861326384,129.9830564143405,123.86370336259539,101.90599468206993,151.3735842803683,53.0598051267043,125.34562586099037,130.46079451267394,126.18109692219618,118.69308531992051,118.15855445758844,103.09158023276841,103.53796363783724,124.77966228197101,152.9010948958768,131.19229519624642,124.27438777105853,52.6910181135246,123.25930159236836,116.01384986418054,103.90596134558757,118.66219297541129,52.25117706727948,104.73033311063263,124.06366824020864,120.49063703993173,152.892807106686,153.93283517382716,53.34224416521698,152.8383196777141,125.85011632737724,152.8533505295291,154.0719874548553,125.63601604868327,57.834587845825396,125.78408339214998,105.47791619061788,115.71782941280213,102.55760135784082,116.51783703578663,47.716459500110076,131.40964786856645,123.68415225634588,152.6770820189545,105.97564376316471,119.27385785421721,118.39302724002323,104.8258256753482,104.32449600755817,107.88334849736428,115.74449829850417,49.36626734463865,125.64303299786054,131.25895321453228,117.63566973712265,114.45600424318853,118.69911696307051,104.99715896384174,50.795824349163695,116.55402313274143,124.62658850336615,48.65666256131437,131.37316088942285,104.15610299688538,152.41563893377565,152.49267626628412,152.46974416701306,124.3920879548186,102.93802429654014,102.56846935643746,114.73013253052824,50.63682233659746,124.42867048278252,155.03243590460698,119.85531591954148,129.28622203326657,54.43815637067963,108.6531980957562,49.176272701373726,131.78268249773762,102.60933653335377,108.3800851317779,131.24317954226214,117.57844296048192,152.25128584729117,104.01554728509734
Vorinostat,142.36979356872158,120.42078168908198,179.92847755751296,62.25045159092172,117.78377315725912,186.73527044445066,178.82508432516227,152.94198290313437,0.0,177.51224819479552,177.11438972773615,138.58889149589382,123.41105521945065,139.9552002282202,150.5943258576365,121.35042142138518,142.36399635296917,152.90220833402648,139.4613280159441,194.27735954841305,139.77093254836484,178.4506168844344,177.84476816579786,141.12193707925277,186.69842379454371,143.48887210827993,188.05676420474177,188.07398179256734,122.08889138568861,194.10394971416477,141.03267807344497,192.97335968212823,118.23906518292394,187.38306300648202,153.80281358029302,187.37618506311236,64.76918703858833,153.47907311959608,152.57879090197895,142.0444568323569,179.5875578431276,179.2322685321227,64.94278804375611,188.17451175323114,118.55016346331317,179.1475205122691,127.84472224484568,177.907216613265,117.30366252896913,63.485344707612846,153.49956515805184,178.5841634130193,186.65179522002376,177.63627210719505,178.11223975012325,188.11437779526727,194.94366430623975,117.39681719177065,177.25659279671385,186.83658455716633,183.38012440891322,177.13906934436355,63.449920411586135,153.25511512533657,194.32372897019846,186.7975646954177,195.04240323405284,177.41031566100565,177.27970284838602,178.48126410809982,178.6436619941452,193.62755145026637,66.74062582380951,186.75681210028992,193.767007536458,152.61138834875516,192.93041972718152,141.69681799771243,178.7662762618401,178.53632922886842,153.14314360295597,117.8514582128391,192.81896556748046,179.11915581332065,67.59578367435768,67.73284865346008,154.02011744854866,63.78988565310158,194.4901312542494,66.27443902661157,67.67019717522189,194.55621928904966,153.96130497416755,194.80294303818147,120.60775891166664,141.76835175871415,177.9052260340896,142.90201019175242,152.21753792554912,186.91758497911982,193.17236519691986,67.76638566687953,120.21798074451573,177.6178194604474,177.35635556578976,179.81197807628985,117.79199880624837,123.98537726568972,142.1297654852692,152.73272075614042,193.99077612030905,187.02731123381906,176.75444584868177,140.56047806105207,177.99374024814313,119.16145648830926,153.30279281379737,141.293683811378,193.44918356623393,152.6034644322005,186.78834643453507,179.14325790366138,65.73009485994905,62.621492710902075,65.62636255612793,193.4231816836428,178.63640992917524,178.01070079124983,139.52924661761043,151.98586658570997,193.51531921853794,71.61607436422534,179.1815758830298,185.4501861335389,154.28441750303497,182.53893827076982,152.23099766803614,187.7729098092823,178.0555889481529,122.749536970653,187.32483421004784,176.6846356558431,64.35388890081146,117.68510229231106
AR-42,134.36703406229896,121.71806529231455,130.15569627194498,177.38285851771911,121.34750485504978,125.59744463849634,129.39422757999662,102.40472096556707,177.5122481947955,0.0,127.68863605762397,131.56771935583402,123.8783996045802,132.91043097181145,139.05528552011563,122.73052575498002,133.8827918175153,102.4664775696507,132.1747716195839,127.16240391447106,132.7265946386411,47.038631344718375,43.30884784723338,133.41737197663846,125.80348750271614,135.21211326019179,126.50441746189578,126.71332976897423,123.2026705525891,126.89555523073727,133.53985655941517,125.53856520533812,120.55625187533907,126.0506573031267,103.60473989138671,126.18662546579566,177.19488491660732,102.95811203390541,101.32606868176623,134.01060614119675,48.52502485253773,46.06524242602537,177.34178950406982,127.02992808276854,120.7798206583329,129.9804934440165,127.46398913261693,128.64855322315475,119.88045485484732,176.76558743621322,102.50776209578821,43.84390055081306,125.16404961747575,43.65844432705369,128.36244660288907,126.89471802912267,128.05016317518337,120.33491162424367,127.99098505622841,125.07408429211779,132.52281576351442,43.902300728927905,176.25536076527197,102.41297482519222,127.12669065995532,125.44963755808548,128.35939687390066,128.5349680661715,127.90059957594843,45.98624338125554,47.31592140461255,126.37460108088403,177.6269367874762,125.5123467011874,126.14193957338027,101.22006983724742,125.04279441770271,133.77503820893756,49.176640592178074,128.80338261174379,102.04127650200003,120.71225496275373,126.03529689285293,129.62021658782766,177.38859438255952,178.52704485150227,103.59118543262642,177.19951805433618,127.67011909585297,177.560457823662,177.91674903697384,127.55259659041266,102.77547458071041,127.73475016596463,122.12450147993918,133.46516987515528,45.73660339736186,134.46942187916306,101.32409563115715,126.00270498436059,125.93880765029485,177.6426289915094,122.37996291686385,128.17435190424888,127.90193200945548,51.50447079561785,120.71497001745205,123.91586247465567,133.94640924123766,101.47045092767524,127.49460617977546,125.78700510840545,127.54329169940571,132.86328532732432,128.56871433783363,121.07489303424032,101.25200383750276,134.45234992211576,126.50348202048409,101.58095279673893,126.28580876556622,49.56672702093876,177.32859226248368,177.18021054179198,177.2265480512244,126.25853248589836,47.93564604797918,44.41496973037491,132.6387277184952,101.06969648694515,126.43697184358771,178.39670952394144,129.39184571133393,124.52561503144194,102.98915308578904,54.669210724738164,100.87796792270713,126.20925702951102,42.60146472289685,123.1830552070319,125.89490862504147,127.66132056114874,177.15100731350245,120.37966942340834
